City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,paso de los toros,-32.8167,-56.5167,55.45,74,78,8.66,UY,1630188139
317,pisco,-13.7,-76.2167,64.02,83,22,3.78,PE,1630188140
318,cedar city,37.6775,-113.0619,90.39,8,1,5.75,US,1630188140
319,ayr,55.4627,-4.6339,60.49,94,20,2.3,GB,1630188140
320,sobolevo,54.4299,31.8996,54.19,93,12,6.11,RU,1630188141
321,cocobeach,1.0002,9.5823,78.73,85,100,5.77,GA,1630188141
322,sorland,67.667,12.6934,53.92,84,53,2.98,NO,1630188142
323,namatanai,-3.6667,152.4333,81.99,73,87,6.82,PG,1630188142
324,llanes,43.4198,-4.7549,62.87,72,99,11.12,ES,1630188142
325,beidao,34.5686,105.8933,60.76,84,96,2.84,CN,1630188143
326,mayo,38.8876,-76.5119,90.1,81,40,10.0,US,1630188143
327,brokopondo,4.75,-55.1667,83.44,69,79,4.36,SR,1630188144
328,mirnyy,62.5353,113.9611,52.07,74,48,5.32,RU,1630188144
329,praya,14.9215,-23.5087,77.54,83,20,4.61,CV,1630188144
330,grand baie,-20.0182,57.5802,71.46,87,100,7.0,MU,1630188145
331,cherskiy,68.75,161.3,40.51,58,100,7.25,RU,1630188145
332,cabangahan,9.0781,122.9469,79.47,78,96,3.27,PH,1630188146
333,lompoc,34.6391,-120.4579,98.74,65,1,14.97,US,1630188146
334,acarau,-2.8856,-40.12,78.84,74,65,18.28,BR,1630188146
335,farmington,36.7281,-108.2187,93.88,14,1,19.57,US,1630188048
336,talnakh,69.4865,88.3972,38.21,94,100,7.74,RU,1630188051
337,callaway,30.153,-85.5699,89.91,61,97,1.99,US,1630188147
338,phalaborwa,-23.943,31.1411,55.27,60,78,19.46,ZA,1630188147
339,zhezkazgan,47.8043,67.7144,73.4,34,97,4.7,KZ,1630188148
340,tongchuan,35.0806,109.0897,60.57,88,72,3.49,CN,1630188148
341,aginskoye,51.1,114.53,51.1,71,0,4.45,RU,1630188149
342,sladkovo,55.5284,70.3385,49.87,81,97,9.89,RU,1630188149
343,nagaur,27.2,73.7333,87.51,48,97,9.51,IN,1630188149
344,usinsk,65.9939,57.5281,45.46,84,100,16.42,RU,1630188150
345,ko samui,9.5357,99.9357,82.11,72,98,6.76,TH,1630188034
346,lillooet,50.6856,-121.942,79.54,33,99,4.68,CA,1630188150
347,najran,17.4924,44.1277,81.14,14,100,3.33,SA,1630188151
348,siderno,38.2779,16.302,78.75,78,6,7.45,IT,1630188151
349,kerema,-7.9631,145.7785,79.11,82,97,3.33,PG,1630188152
350,breyten,-26.3018,29.987,38.61,27,0,4.9,ZA,1630188152
351,vao,-22.6667,167.4833,70.3,77,5,2.1,NC,1630188152
352,sao filipe,14.8961,-24.4956,76.73,80,100,1.99,CV,1630188153
353,lagoa,39.05,-27.9833,71.13,86,4,15.55,PT,1630188153
354,barra patuca,15.8,-84.2833,84.27,75,79,11.81,HN,1630188154
355,kirkwall,58.9848,-2.9587,53.96,93,75,3.44,GB,1630188154
356,mareeba,-17.0,145.4333,70.48,91,35,3.44,AU,1630188154
357,kenai,60.5544,-151.2583,57.02,43,0,5.93,US,1630188155
358,sitka,57.0531,-135.33,57.09,67,90,8.05,US,1630188062
359,camacha,33.0833,-16.3333,71.02,73,20,6.91,PT,1630188156
360,la sarre,48.8002,-79.1996,61.03,84,100,8.14,CA,1630188032
361,saint-tite,46.7334,-72.5658,63.45,61,100,4.81,CA,1630188156
362,jackson,42.4165,-122.8345,92.39,25,0,1.99,US,1630188015
363,boulsa,12.6675,-0.5758,81.09,71,69,7.58,BF,1630188157
364,suntar,62.1444,117.6319,49.1,85,21,5.19,RU,1630188120
365,petropavlovsk-kamchatskiy,53.0452,158.6483,55.99,100,75,2.24,RU,1630188157
366,haines junction,60.7522,-137.5108,43.81,96,100,4.45,CA,1630188158
367,mahajanga,-15.7167,46.3167,69.82,68,20,5.75,MG,1630188158
